stud_no,firstname,lastname,gender,avg_grade,IQ,birthdate,hometown
1,Marion,Reed,Female,2.145454,103,12/27/1984 0:00,TALISAY CITY
2,Myrtle,Carroll,Female,1.833333,83,7/11/1984 0:00,CEBU CITY
3,Douglas,Harmon,Female,1.925,92,7/11/1984 0:00,CEBU CITY
4,Steven,Hayes,Male,1.52,91,12/3/1988 0:00,CEBU CITY
5,Celia,Bass,Male,1.565,92,8/2/1984 0:00,CEBU CITY
6,Elizabeth,Coleman,Male,2.011111,99,11/2/1984 0:00,TALISAY CITY
7,Lillie,Zimmerman,Male,1.345454,114,10/5/1985 0:00,MINGLANILLA
8,Margaret,Ramirez,Male,1.7,93,10/4/1986 0:00,TALISAY CITY
9,Viola,Chambers,Male,2.01,87,2/19/1986 0:00,CEBU CITY
10,Myrtie,Craig,Male,2.4,107,1/1/1987 0:00,CEBU CITY
11,William,Cannon,Male,1.565,108,4/26/1987 0:00,TALISAY CITY
12,Allen,Armstrong,Female,2.205,114,4/8/1987 0:00,TALISAY CITY
13,Lida,Anderson,Male,1.52,120,4/2/1986 0:00,CEBU CITY
14,Landon,Lynch,Male,1.76923,113,1/12/1990 0:00,CEBU CITY
15,Mark,Burgess,Female,1.284615,138,10/15/1987 0:00,PUNTA PRINCESA
16,Melvin,Silva,Female,1.782608,95,9/1/1986 0:00,MINGLANILLA
17,Gertrude,Washington,Male,1.634782,105,3/29/1988 0:00,CEBU CITY
18,Edgar,Johnson,Male,1.852173,114,9/13/1988 0:00,CEBU CITY
19,Adrian,Fox,Male,1.51923,109,4/7/1988 0:00,CEBU CITY
20,Hulda,Wilkerson,Female,2.123076,100,12/2/1988 0:00,CEBU CITY
21,Isabel,Craig,Female,1.957692,97,7/24/1988 0:00,CEBU CITY
22,Ethel,Farmer,Male,1.903846,122,4/27/1988 0:00,TALISAY CITY
23,Ophelia,Moore,Female,2.208,103,11/28/1988 0:00,CEBU CITY 6000
24,Jennie,Haynes,Male,1.647826,114,4/10/1988 0:00,CEBU CITY
25,Steven,Todd,Female,1.661538,113,6/9/1988 0:00,NAVAL
26,Brandon,Kelley,Female,2.126086,112,12/15/1987 0:00,MINGLANILLA
27,Steven,Young,Male,2.05,101,6/20/1988 0:00,TALISAY CITY
28,Matthew,Steele,Female,2.0125,92,3/28/1987 0:00,TALISAY CITY
29,Mittie,Phelps,Female,2.007142,91,11/24/1977 0:00,CEBU CITY
30,Alice,Sparks,Female,1.834615,99,1/25/1988 0:00,CEBU CITY
31,Sarah,Powers,Female,1.45,112,4/21/1988 0:00,CEBU CITY
32,Sara,Douglas,Female,1.775,133,2/26/1988 0:00,CEBU CITY
33,Jose,Owens,Female,2.073913,105,11/16/1988 0:00,CEBU CITY
34,Lucille,Gardner,Male,2.026086,123,3/10/1988 0:00,CEBU CITY
35,Wayne,Lyons,Female,1.464,106,5/22/1988 0:00,TALISAY CITY
36,Roger,Lamb,Female,1.704347,112,6/29/1988 0:00,Minglanilla
37,Isabella,Vaughn,Male,1.617391,140,8/30/1988 0:00,CEBU CITY
38,Henry,Lamb,Female,2.264285,98,4/30/1988 0:00,CEBU CITY
39,Gussie,Hammond,Male,1.157692,133,8/22/1988 0:00,CEBU CITY
40,Ella,Henry,Male,1.203846,113,5/24/1988 0:00,MINGLANILLA
41,Bernice,Hoffman,Female,2.075,99,7/7/1988 0:00,CEBU CITY
42,Eric,Nelson,Male,2.2875,106,7/15/1988 0:00,TALISAY CITY
43,Connor,Garza,Female,1.916666,114,12/3/1988 0:00,TALISAY CITY
44,Joe,Morales,Female,1.491304,108,8/27/1988 0:00,CEBU CITY
45,Matthew,Bridges,Male,2.06,86,7/31/1988 0:00,CEBU CITY
46,Leah,Moran,Female,2.55,83,5/27/1989 0:00,CEBU CITY
47,Teresa,Swanson,Female,2.5,97,7/14/1989 0:00,TALISAY CITY
48,Seth,Barker,Male,1.871428,88,10/4/1989 0:00,MINGLANILLA
49,Albert,George,Male,2.836363,90,11/25/1988 0:00,CEBU CITY
50,Victoria,Berry,Female,1.927272,90,8/6/1989 0:00,TALISAY CITY
51,Charlotte,Chavez,Male,2.345454,98,7/22/1990 0:00,Cebu City
52,Philip,French,Male,2.133333,107,3/8/1991 0:00,CEBU CITY
53,Gertrude,Strickland,Male,2.090909,101,9/18/1988 0:00,CEBU CITY
54,Annie,Pena,Female,2.536363,107,1/20/1988 0:00,CEBU CITY
55,Sally,Sparks,Female,2.02,101,1/16/1990 0:00,TALISAY CITY
56,Cameron,Crawford,Female,1.864285,122,3/2/1989 0:00,TALISAY CITY
57,Phoebe,Kelley,Female,2.029411,78,6/8/1989 0:00,TALISAY CITY
58,Loretta,Kennedy,Male,1.996153,107,8/18/1989 0:00,CEBU CITY
59,Clayton,Hamilton,Male,2.02,91,8/7/1989 0:00,TALISAY CITY
60,Bessie,Sparks,Male,1.7875,96,1/3/1990 0:00,CEBU CITY
61,Stanley,Stevens,Male,2.215384,100,12/28/1988 0:00,TALISAY CITY
62,Alfred,Alexander,Female,1.75,105,7/17/1989 0:00,TALISAY CITY
63,Phoebe,Moran,Female,1.592857,109,7/17/1989 0:00,BANTAYAN
64,Cynthia,Gibbs,Female,2,94,5/19/1990 0:00,CEBU CITY
65,Myra,Boone,Female,1.546153,105,3/10/1988 0:00,TALISAY CITY
66,Joshua,Lawrence,Female,2.8,91,6/20/1990 0:00,CEBU CITY
67,Mark,Vargas,Male,2.019047,111,9/6/1990 0:00,CEBU CITY
68,Marc,Ruiz,Female,2.592857,92,2/26/1990 0:00,CEBU CITY
69,Maurice,Barrett,Female,1.3,101,8/29/1990 0:00,MINGLANILLA
70,Josephine,Webster,Male,1.781818,108,4/1/1990 0:00,CEBU CITY
71,Adrian,Owen,Female,1.5375,106,8/23/1991 0:00,CEBU CITY
72,Gavin,Weber,Male,1.65,104,5/9/1991 0:00,TALISAY CITY
73,Millie,Cobb,Female,1.735714,89,6/15/1991 0:00,TALISAY CITY
74,Randy,Butler,Female,1.816666,104,4/5/1991 0:00,MINGLANILLA
75,Clyde,Brooks,Female,2,103,4/1/1989 0:00,CEBU CITY
76,Sally,Ross,Male,1.32,116,6/19/1990 0:00,SIBONGA
77,Edgar,Higgins,Male,2.484615,92,1/26/1990 0:00,CEBU CITY
78,Adelaide,Harper,Female,2.733333,85,7/8/1990 0:00,TUBURAN
79,Virgie,Woods,Female,1.545454,116,7/2/1990 0:00,MINGLANILLA
80,Landon,Brady,Male,1.845454,105,3/26/1990 0:00,TALISAY
81,Gertrude,Burke,Male,2.683333,95,5/16/1990 0:00,CEBU CITY
82,Emma,Rowe,Female,1.32,131,7/30/1990 0:00,CEBU CITY
83,Ola,Stevenson,Female,1.89375,113,7/2/1990 0:00,CEBU CITY
84,Lucinda,Daniel,Male,2.005,91,4/23/1990 0:00,CEBU CITY
85,Mabelle,Jimenez,Female,1.721739,93,6/25/1990 0:00,TALISAY CITY
86,Mildred,Schmidt,Male,1.97826,92,3/17/1990 0:00,MINGLANILLA
87,Francisco,Abbott,Female,2.185,111,11/17/1990 0:00,CEBU CITY
88,Maud,Benson,Male,1.83125,102,10/10/1989 0:00,CEBU CITY
89,Inez,McCormick,Male,2.4,85,11/24/1981 0:00,CEBU CITY
90,Ann,Green,Male,1.965217,116,10/26/1991 0:00,CEBU CITY
91,Rena,Clayton,Male,1.430769,123,9/3/1991 0:00,CEBU CITY
92,Isaac,Gregory,Female,1.575,117,4/3/1992 0:00,Talisay City
93,Nettie,Perry,Male,2.325,108,5/22/1991 0:00,MINGLANILLA
94,Willie,Schmidt,Male,2.291666,107,6/13/1992 0:00,Cebu City
95,Mason,Blair,Female,1.725,102,6/10/1991 0:00,TALISAY CITY
96,Emily,Zimmerman,Female,1.790909,99,12/2/1991 0:00,TALISAY CITY
